0,1,2,3,4,5,6,7,8,9,10
citrus fruit,spread cheese,,,,,,,,,
other vegetables,domestic eggs,,,,,,,,,
chocolate,mustard,rolls/buns,,,,,,,,
bottled water,cream cheese ,bottled beer,,,,,,,,
butter,photo/film,,,,,,,,,
bottled water,newspapers,,,,,,,,,
pip fruit,whole milk,bottled water,,,,,,,,
chicken,finished products,rolls/buns,butter,rolls/buns,herbs,white bread,,,,
hygiene articles,chicken,,,,,,,,,
soda,citrus fruit,,,,,,,,,
citrus fruit,ham,,,,,,,,,
other vegetables,rum,bottled water,,,,,,,,
brown bread,domestic eggs,,,,,,,,,
sausage,pip fruit,,,,,,,,,
canned beer,hamburger meat,cake bar,,,,,,,,
root vegetables,rolls/buns,UHT-milk,packaged fruit/vegetables,,,,,,,
other vegetables,coffee,,,,,,,,,
newspapers,frozen dessert,,,,,,,,,
domestic eggs,bottled beer,,,,,,,,,
pork,bottled beer,,,,,,,,,
pip fruit,long life bakery product,,,,,,,,,
pork,ham,,,,,,,,,
rolls/buns,newspapers,shopping bags,,,,,,,,
other vegetables,citrus fruit,,,,,,,,,
hard cheese,butter milk,long life bakery product,,,,,,,,
root vegetables,soda,,,,,,,,,
sausage,newspapers,,,,,,,,,
pastry,bottled beer,,,,,,,,,
sausage,beef,,,,,,,,,
soda,other vegetables,,,,,,,,,
misc. beverages,whole milk,onions,yogurt,,,,,,,
bottled water,ham,brown bread,yogurt,,,,,,,
bottled beer,soda,frozen vegetables,,,,,,,,
UHT-milk,citrus fruit,,,,,,,,,
butter milk,rolls/buns,,,,,,,,,
newspapers,chicken,pip fruit,,,,,,,,
ham,chocolate,,,,,,,,,
chocolate,herbs,,,,,,,,,
beef,white wine,pip fruit,,,,,,,,
bottled water,beverages,pastry,,,,,,,,
pip fruit,cake bar,,,,,,,,,
other vegetables,other vegetables,,,,,,,,,
ice cream,rolls/buns,,,,,,,,,
rolls/buns,citrus fruit,,,,,,,,,
dog food,coffee,seasonal products,,,,,,,,
whole milk,bottled beer,,,,,,,,,
candy,curd,,,,,,,,,
misc. beverages,yogurt,oil,,,,,,,,
bottled water,frozen potato products,,,,,,,,,
margarine,cream cheese ,,,,,,,,,
canned beer,other vegetables,,,,,,,,,
soda,sliced cheese,,,,,,,,,
yogurt,sliced cheese,,,,,,,,,
frankfurter,margarine,,,,,,,,,
other vegetables,soda,,,,,,,,,
pastry,bottled water,dishes,whole milk,canned beer,,,,,,
tropical fruit,root vegetables,candy,yogurt,rolls/buns,,,,,,
beef,curd cheese,,,,,,,,,
sausage,pasta,,,,,,,,,
bottled beer,other vegetables,,,,,,,,,
sausage,whole milk,,,,,,,,,
tropical fruit,whipped/sour cream,,,,,,,,,
yogurt,canned beer,,,,,,,,,
whole milk,sliced cheese,,,,,,,,,
specialty chocolate,frozen potato products,,,,,,,,,
sausage,napkins,,,,,,,,,
other vegetables,beverages,,,,,,,,,
rolls/buns,oil,,,,,,,,,
margarine,margarine,,,,,,,,,
beef,whole milk,,,,,,,,,
beef,soda,,,,,,,,,
soda,rolls/buns,,,,,,,,,
shopping bags,chocolate,,,,,,,,,
whole milk,citrus fruit,,,,,,,,,
tropical fruit,cat food,soda,,,,,,,,
newspapers,soups,,,,,,,,,
yogurt,pip fruit,,,,,,,,,
sausage,curd,brown bread,,,,,,,,
whole milk,chocolate,,,,,,,,,
other vegetables,pastry,,,,,,,,,
spread cheese,other vegetables,,,,,,,,,
ham,frozen meals,,,,,,,,,
grapes,yogurt,condensed milk,,,,,,,,
citrus fruit,other vegetables,,,,,,,,,
citrus fruit,yogurt,,,,,,,,,
liquor (appetizer),hygiene articles,,,,,,,,,
pip fruit,butter,,,,,,,,,
root vegetables,tropical fruit,,,,,,,,,
frankfurter,beverages,,,,,,,,,
pip fruit,whole milk,,,,,,,,,
citrus fruit,bottled water,,,,,,,,,
fruit/vegetable juice,margarine,,,,,,,,,
soda,pastry,,,,,,,,,
sausage,honey,beverages,soda,frozen dessert,whipped/sour cream,,,,,
house keeping products,fruit/vegetable juice,,,,,,,,,
chicken,UHT-milk,napkins,,,,,,,,
tropical fruit,tropical fruit,pot plants,berries,other vegetables,shopping bags,,,,,
ham,white bread,,,,,,,,,
frankfurter,soda,other vegetables,,,,,,,,
root vegetables,domestic eggs,,,,,,,,,
whole milk,pastry,napkins,,,,,,,,
pot plants,newspapers,brown bread,,,,,,,,
domestic eggs,frozen vegetables,,,,,,,,,
soda,dishes,,,,,,,,,
rolls/buns,soups,,,,,,,,,
citrus fruit,margarine,white wine,,,,,,,,
root vegetables,red/blush wine,,,,,,,,,
pip fruit,dishes,soft cheese,,,,,,,,
turkey,other vegetables,,,,,,,,,
frozen vegetables,dessert,,,,,,,,,
cat food,domestic eggs,,,,,,,,,
sugar,whipped/sour cream,,,,,,,,,
bottled water,liquor,,,,,,,,,
other vegetables,rolls/buns,,,,,,,,,
citrus fruit,chicken,bottled water,rolls/buns,,,,,,,
cream cheese ,tropical fruit,bottled water,soda,specialty bar,,,,,,
berries,root vegetables,bottled water,,,,,,,,
hamburger meat,frozen potato products,,,,,,,,,
soft cheese,long life bakery product,,,,,,,,,
canned beer,berries,bottled water,,,,,,,,
waffles,spread cheese,,,,,,,,,
yogurt,yogurt,,,,,,,,,
citrus fruit,sugar,,,,,,,,,
shopping bags,frozen meals,,,,,,,,,
yogurt,ice cream,,,,,,,,,
pip fruit,butter milk,,,,,,,,,
other vegetables,domestic eggs,,,,,,,,,
domestic eggs,yogurt,,,,,,,,,
sausage,soda,butter,,,,,,,,
meat,sausage,cake bar,root vegetables,,,,,,,
soda,butter milk,citrus fruit,other vegetables,,,,,,,
meat,whole milk,,,,,,,,,
yogurt,pot plants,,,,,,,,,
frankfurter,chocolate,mayonnaise,oil,,,,,,,
whole milk,other vegetables,,,,,,,,,
hamburger meat,red/blush wine,,,,,,,,,
brown bread,detergent,,,,,,,,,
whole milk,canned fish,,,,,,,,,
white bread,whipped/sour cream,,,,,,,,,
tropical fruit,hamburger meat,tea,,,,,,,,
pork,yogurt,,,,,,,,,
tropical fruit,root vegetables,,,,,,,,,
whole milk,sauces,,,,,,,,,
frozen vegetables,pastry,,,,,,,,,
chicken,rolls/buns,,,,,,,,,
other vegetables,bottled beer,,,,,,,,,
pip fruit,bottled beer,margarine,,,,,,,,
soda,canned beer,,,,,,,,,
citrus fruit,butter,,,,,,,,,
citrus fruit,root vegetables,,,,,,,,,
pork,yogurt,,,,,,,,,
tropical fruit,waffles,,,,,,,,,
frankfurter,shopping bags,,,,,,,,,
canned beer,pastry,butter,,,,,,,,
citrus fruit,hard cheese,,,,,,,,,
pip fruit,frozen potato products,,,,,,,,,
whole milk,pip fruit,softener,,,,,,,,
ham,curd cheese,,,,,,,,,
long life bakery product,waffles,,,,,,,,,
fruit/vegetable juice,sausage,sausage,domestic eggs,seasonal products,,,,,,
UHT-milk,margarine,,,,,,,,,
bottled beer,root vegetables,,,,,,,,,
pastry,curd,,,,,,,,,
whole milk,domestic eggs,,,,,,,,,
pip fruit,soda,,,,,,,,,
newspapers,coffee,soft cheese,,,,,,,,
whole milk,brown bread,,,,,,,,,
soda,pastry,bottled water,,,,,,,,
cream cheese ,whole milk,,,,,,,,,
coffee,hard cheese,domestic eggs,,,,,,,,
rolls/buns,ice cream,,,,,,,,,
misc. beverages,chocolate,,,,,,,,,
tropical fruit,cake bar,chocolate,,,,,,,,
onions,hard cheese,,,,,,,,,
oil,pickled vegetables,,,,,,,,,
other vegetables,sliced cheese,,,,,,,,,
pork,yogurt,soda,,,,,,,,
pork,root vegetables,,,,,,,,,
pip fruit,brandy,,,,,,,,,
whole milk,yogurt,,,,,,,,,
other vegetables,pip fruit,,,,,,,,,
beef,butter,yogurt,,,,,,,,
butter,butter milk,,,,,,,,,
ice cream,salty snack,,,,,,,,,
salt,soda,rolls/buns,,,,,,,,
sausage,soda,bottled beer,yogurt,,,,,,,
other vegetables,whipped/sour cream,,,,,,,,,
nuts/prunes,brown bread,newspapers,,,,,,,,
whole milk,whipped/sour cream,,,,,,,,,
root vegetables,whipped/sour cream,rolls/buns,rolls/buns,,,,,,,
whole milk,newspapers,,,,,,,,,
rolls/buns,packaged fruit/vegetables,,,,,,,,,
tropical fruit,frozen vegetables,,,,,,,,,
tropical fruit,pastry,,,,,,,,,
berries,rolls/buns,pastry,,,,,,,,
chicken,root vegetables,,,,,,,,,
meat,sausage,baking powder,pastry,,,,,,,
tropical fruit,canned beer,,,,,,,,,
citrus fruit,whipped/sour cream,,,,,,,,,
newspapers,curd,turkey,curd,misc. beverages,bottled beer,,,,,
coffee,yogurt,,,,,,,,,
hamburger meat,other vegetables,,,,,,,,,
hamburger meat,beef,bottled beer,whole milk,chocolate,,,,,,
bottled beer,soda,candy,,,,,,,,
hamburger meat,whipped/sour cream,,,,,,,,,
soda,other vegetables,cream cheese ,,,,,,,,
turkey,seasonal products,,,,,,,,,
brown bread,yogurt,,,,,,,,,
soda,onions,cream cheese ,,,,,,,,
white bread,butter,,,,,,,,,
butter,pastry,,,,,,,,,
tropical fruit,oil,,,,,,,,,
ice cream,yogurt,oil,,,,,,,,
whipped/sour cream,soft cheese,,,,,,,,,
salty snack,rolls/buns,butter,tropical fruit,pastry,root vegetables,fruit/vegetable juice,semi-finished bread,,,
canned beer,specialty vegetables,long life bakery product,,,,,,,,
frankfurter,whole milk,red/blush wine,rolls/buns,,,,,,,
yogurt,rolls/buns,,,,,,,,,
other vegetables,pip fruit,domestic eggs,,,,,,,,
root vegetables,whole milk,potato products,,,,,,,,
organic products,root vegetables,,,,,,,,,
soda,tropical fruit,specialty chocolate,root vegetables,,,,,,,
oil,onions,,,,,,,,,
bottled water,cream cheese ,pip fruit,hygiene articles,,,,,,,
yogurt,whole milk,,,,,,,,,
pip fruit,abrasive cleaner,,,,,,,,,
yogurt,ketchup,butter,,,,,,,,
rolls/buns,rolls/buns,,,,,,,,,
frankfurter,dog food,,,,,,,,,
rolls/buns,cream cheese ,,,,,,,,,
dish cleaner,ice cream,jam,newspapers,,,,,,,
frozen meals,frozen vegetables,curd,,,,,,,,
soda,flour,pudding powder,,,,,,,,
sausage,oil,,,,,,,,,
margarine,bottled beer,,,,,,,,,
root vegetables,soda,,,,,,,,,
rolls/buns,butter milk,,,,,,,,,
newspapers,chocolate,,,,,,,,,
ham,soft cheese,fruit/vegetable juice,sugar,,,,,,,
hamburger meat,pastry,,,,,,,,,
hamburger meat,packaged fruit/vegetables,baking powder,,,,,,,,
whole milk,oil,,,,,,,,,
bottled beer,oil,,,,,,,,,
rolls/buns,meat,whole milk,domestic eggs,white bread,domestic eggs,,,,,
whole milk,butter milk,,,,,,,,,
soda,root vegetables,,,,,,,,,
ice cream,canned beer,semi-finished bread,,,,,,,,
chicken,tropical fruit,salt,,,,,,,,
sausage,grapes,,,,,,,,,
rolls/buns,brown bread,whipped/sour cream,,,,,,,,
whipped/sour cream,hard cheese,,,,,,,,,
other vegetables,chewing gum,,,,,,,,,
pork,hygiene articles,,,,,,,,,
sausage,domestic eggs,mayonnaise,soda,,,,,,,
newspapers,roll products ,,,,,,,,,
root vegetables,brown bread,,,,,,,,,
pork,pickled vegetables,,,,,,,,,
ham,bottled beer,rolls/buns,,,,,,,,
whole milk,frozen meals,,,,,,,,,
other vegetables,napkins,,,,,,,,,
margarine,other vegetables,,,,,,,,,
pork,shopping bags,,,,,,,,,
other vegetables,rolls/buns,,,,,,,,,
other vegetables,condensed milk,,,,,,,,,
UHT-milk,soda,,,,,,,,,
other vegetables,butter,red/blush wine,,,,,,,,
butter,fruit/vegetable juice,soda,,,,,,,,
other vegetables,root vegetables,mayonnaise,,,,,,,,
whole milk,tropical fruit,root vegetables,Instant food products,margarine,,,,,,
root vegetables,turkey,bottled water,,,,,,,,
frankfurter,sausage,margarine,rolls/buns,bottled beer,mustard,,,,,
whipped/sour cream,cream cheese ,,,,,,,,,
cream cheese ,brown bread,,,,,,,,,
bottled water,coffee,curd,,,,,,,,
white bread,soda,,,,,,,,,
yogurt,rolls/buns,,,,,,,,,
frozen fish,rolls/buns,,,,,,,,,
sausage,whole milk,whipped/sour cream,domestic eggs,,,,,,,
bottled beer,whole milk,,,,,,,,,
whole milk,chocolate,,,,,,,,,
beef,whole milk,frozen meals,,,,,,,,
sliced cheese,dessert,cream cheese ,,,,,,,,
semi-finished bread,other vegetables,soda,,,,,,,,
whole milk,pip fruit,,,,,,,,,
grapes,rolls/buns,,,,,,,,,
citrus fruit,long life bakery product,,,,,,,,,
rolls/buns,yogurt,newspapers,margarine,,,,,,,
cat food,pet care,oil,,,,,,,,
citrus fruit,brown bread,ketchup,,,,,,,,
dental care,curd,,,,,,,,,
bottled beer,bottled water,,,,,,,,,
chicken,pasta,,,,,,,,,
other vegetables,canned fish,,,,,,,,,
newspapers,rolls/buns,,,,,,,,,
UHT-milk,canned fish,,,,,,,,,
spread cheese,chocolate marshmallow,,,,,,,,,
sugar,specialty bar,,,,,,,,,
pork,hamburger meat,,,,,,,,,
other vegetables,whole milk,candy,,,,,,,,
pork,rolls/buns,yogurt,brown bread,,,,,,,
other vegetables,semi-finished bread,shopping bags,,,,,,,,
root vegetables,whipped/sour cream,,,,,,,,,
rolls/buns,pip fruit,,,,,,,,,
sausage,long life bakery product,curd,,,,,,,,
flower (seeds),domestic eggs,,,,,,,,,
whipped/sour cream,cream cheese ,,,,,,,,,
canned beer,coffee,,,,,,,,,
soft cheese,pip fruit,,,,,,,,,
butter milk,yogurt,,,,,,,,,
bottled beer,jam,male cosmetics,dessert,,,,,,,
sausage,whole milk,,,,,,,,,
herbs,soups,,,,,,,,,
other vegetables,mayonnaise,fruit/vegetable juice,,,,,,,,
sausage,newspapers,,,,,,,,,
softener,salty snack,,,,,,,,,
chicken,nut snack,whole milk,newspapers,soft cheese,yogurt,spices,condensed milk,,,
root vegetables,popcorn,,,,,,,,,
bottled water,long life bakery product,rolls/buns,,,,,,,,
berries,chocolate marshmallow,,,,,,,,,
coffee,bottled beer,,,,,,,,,
whole milk,newspapers,,,,,,,,,
pot plants,bottled water,yogurt,,,,,,,,
margarine,herbs,,,,,,,,,
pip fruit,other vegetables,,,,,,,,,
beef,salt,,,,,,,,,
root vegetables,canned beer,specialty cheese,rolls/buns,,,,,,,
beef,salty snack,,,,,,,,,
yogurt,whipped/sour cream,,,,,,,,,
sugar,bottled water,,,,,,,,,
white bread,brown bread,,,,,,,,,
canned beer,whipped/sour cream,,,,,,,,,
tropical fruit,grapes,ice cream,sweet spreads,,,,,,,
beverages,salt,,,,,,,,,
sausage,root vegetables,,,,,,,,,
pot plants,baking powder,,,,,,,,,
pastry,whole milk,other vegetables,rolls/buns,,,,,,,
fruit/vegetable juice,white bread,,,,,,,,,
frankfurter,fruit/vegetable juice,,,,,,,,,
bottled water,UHT-milk,,,,,,,,,
beverages,beverages,hamburger meat,frankfurter,soda,root vegetables,butter,cream cheese ,butter,,
other vegetables,meat spreads,,,,,,,,,
canned beer,ham,bottled water,domestic eggs,,,,,,,
pastry,condensed milk,rice,tropical fruit,chocolate marshmallow,,,,,,
butter milk,dessert,,,,,,,,,
whole milk,hamburger meat,,,,,,,,,
sausage,whipped/sour cream,waffles,,,,,,,,
yogurt,margarine,yogurt,soft cheese,,,,,,,
beef,herbs,,,,,,,,,
tropical fruit,rolls/buns,,,,,,,,,
pastry,detergent,,,,,,,,,
tropical fruit,mustard,,,,,,,,,
yogurt,canned fish,pasta,,,,,,,,
rolls/buns,pastry,,,,,,,,,
beef,pork,,,,,,,,,
other vegetables,shopping bags,,,,,,,,,
soda,soda,canned beer,,,,,,,,
yogurt,herbs,pastry,whipped/sour cream,canned fish,,,,,,
pork,canned beer,,,,,,,,,
pip fruit,frozen vegetables,whipped/sour cream,whipped/sour cream,,,,,,,
rolls/buns,yogurt,chicken,whole milk,,,,,,,
hamburger meat,root vegetables,fruit/vegetable juice,,,,,,,,
rolls/buns,pastry,,,,,,,,,
pork,bottled water,,,,,,,,,
sugar,fruit/vegetable juice,,,,,,,,,
beef,long life bakery product,,,,,,,,,
citrus fruit,butter,,,,,,,,,
fruit/vegetable juice,beverages,,,,,,,,,
domestic eggs,beef,coffee,bottled beer,,,,,,,
red/blush wine,dessert,curd,rolls/buns,,,,,,,
chicken,bottled water,brown bread,hygiene articles,,,,,,,
rolls/buns,nuts/prunes,pastry,fruit/vegetable juice,,,,,,,
root vegetables,dessert,,,,,,,,,
other vegetables,yogurt,whole milk,spread cheese,,,,,,,
other vegetables,pip fruit,,,,,,,,,
rolls/buns,processed cheese,,,,,,,,,
yogurt,rolls/buns,,,,,,,,,
frankfurter,citrus fruit,yogurt,frozen vegetables,,,,,,,
soda,whipped/sour cream,,,,,,,,,
other vegetables,sliced cheese,,,,,,,,,
other vegetables,citrus fruit,root vegetables,whipped/sour cream,,,,,,,
curd,detergent,,,,,,,,,
curd,nuts/prunes,root vegetables,sausage,whole milk,rolls/buns,root vegetables,bottled water,hard cheese,,
oil,pork,other vegetables,frozen meals,,,,,,,
whole milk,cat food,,,,,,,,,
meat,domestic eggs,,,,,,,,,
pip fruit,long life bakery product,,,,,,,,,
tropical fruit,frozen fruits,,,,,,,,,
yogurt,canned beer,,,,,,,,,
onions,vinegar,,,,,,,,,
citrus fruit,specialty bar,,,,,,,,,
domestic eggs,chocolate,,,,,,,,,
rolls/buns,onions,,,,,,,,,
soft cheese,rolls/buns,detergent,,,,,,,,
cream cheese ,pastry,,,,,,,,,
berries,pastry,,,,,,,,,
newspapers,frozen meals,,,,,,,,,
pastry,domestic eggs,bottled water,,,,,,,,
hamburger meat,chewing gum,,,,,,,,,
rolls/buns,rolls/buns,,,,,,,,,
sausage,pastry,coffee,,,,,,,,
processed cheese,other vegetables,,,,,,,,,
other vegetables,margarine,shopping bags,processed cheese,,,,,,,
frankfurter,curd,,,,,,,,,
brown bread,bottled water,,,,,,,,,
soda,prosecco,canned fish,,,,,,,,
pork,cake bar,,,,,,,,,
other vegetables,hard cheese,,,,,,,,,
sausage,pip fruit,brown bread,,,,,,,,
sausage,bottled water,,,,,,,,,
soft cheese,yogurt,hard cheese,coffee,roll products ,,,,,,
canned beer,sugar,,,,,,,,,
sugar,waffles,soda,organic products,,,,,,,
whole milk,margarine,,,,,,,,,
canned beer,margarine,,,,,,,,,
specialty bar,bottled water,dental care,,,,,,,,
pip fruit,tidbits,,,,,,,,,
turkey,domestic eggs,,,,,,,,,
frankfurter,brown bread,,,,,,,,,
tropical fruit,pickled vegetables,,,,,,,,,
whole milk,sugar,,,,,,,,,
pastry,dish cleaner,,,,,,,,,
beef,newspapers,,,,,,,,,
frankfurter,beverages,,,,,,,,,
whole milk,specialty chocolate,,,,,,,,,
grapes,berries,soda,condensed milk,waffles,nut snack,,,,,
fruit/vegetable juice,cat food,,,,,,,,,
bottled water,soda,,,,,,,,,
berries,rolls/buns,,,,,,,,,
photo/film,soda,cream cheese ,,,,,,,,
canned beer,nuts/prunes,,,,,,,,,
pork,other vegetables,,,,,,,,,
curd,whipped/sour cream,,,,,,,,,
root vegetables,rice,,,,,,,,,
soda,whole milk,,,,,,,,,
yogurt,frozen meals,frozen vegetables,,,,,,,,
soda,flower (seeds),jam,,,,,,,,
rolls/buns,whole milk,,,,,,,,,
rolls/buns,soda,,,,,,,,,
napkins,whole milk,chocolate marshmallow,,,,,,,,
root vegetables,fruit/vegetable juice,,,,,,,,,
white wine,specialty bar,,,,,,,,,
citrus fruit,candy,,,,,,,,,
pork,canned beer,prosecco,fruit/vegetable juice,,,,,,,
pork,curd,,,,,,,,,
root vegetables,salty snack,whipped/sour cream,,,,,,,,
curd cheese,canned beer,,,,,,,,,
canned fish,whole milk,,,,,,,,,
other vegetables,processed cheese,,,,,,,,,
pastry,liqueur,,,,,,,,,
herbs,root vegetables,,,,,,,,,
rolls/buns,seasonal products,,,,,,,,,
pip fruit,hard cheese,,,,,,,,,
pip fruit,domestic eggs,,,,,,,,,
frozen vegetables,flour,,,,,,,,,
rolls/buns,cream cheese ,brown bread,,,,,,,,
whole milk,frozen vegetables,white wine,,,,,,,,
oil,frozen potato products,,,,,,,,,
frankfurter,cream cheese ,long life bakery product,,,,,,,,
tropical fruit,meat,pip fruit,salt,pot plants,,,,,,
butter,citrus fruit,brown bread,pork,shopping bags,hygiene articles,dessert,whole milk,,,
other vegetables,cooking chocolate,,,,,,,,,
chicken,margarine,,,,,,,,,
other vegetables,berries,,,,,,,,,
other vegetables,whole milk,,,,,,,,,
other vegetables,liquor,,,,,,,,,
other vegetables,herbs,,,,,,,,,
bottled beer,brown bread,,,,,,,,,
frozen vegetables,rolls/buns,cling film/bags,,,,,,,,
dog food,bottled beer,,,,,,,,,
sausage,brandy,,,,,,,,,
beef,onions,,,,,,,,,
napkins,rolls/buns,,,,,,,,,
soda,tropical fruit,,,,,,,,,
berries,beverages,,,,,,,,,
bottled water,soda,margarine,candy,,,,,,,
pickled vegetables,flour,,,,,,,,,
beef,yogurt,,,,,,,,,
beef,yogurt,,,,,,,,,
finished products,pip fruit,,,,,,,,,
other vegetables,red/blush wine,curd,,,,,,,,
ham,whipped/sour cream,,,,,,,,,
pip fruit,artif. sweetener,hygiene articles,,,,,,,,
bottled water,dental care,,,,,,,,,
chocolate marshmallow,other vegetables,,,,,,,,,
frozen vegetables,canned beer,,,,,,,,,
tropical fruit,pip fruit,,,,,,,,,
whole milk,yogurt,,,,,,,,,
pastry,detergent,rice,,,,,,,,
whole milk,curd cheese,root vegetables,pastry,,,,,,,
bottled beer,root vegetables,hygiene articles,,,,,,,,
citrus fruit,berries,,,,,,,,,
other vegetables,specialty fat,,,,,,,,,
waffles,beverages,waffles,curd,,,,,,,
sausage,grapes,,,,,,,,,
bottled water,berries,,,,,,,,,
onions,frozen vegetables,,,,,,,,,
other vegetables,whole milk,bottled beer,,,,,,,,
pet care,beef,,,,,,,,,
coffee,frozen potato products,,,,,,,,,
tropical fruit,sugar,,,,,,,,,
other vegetables,hygiene articles,,,,,,,,,
rolls/buns,canned beer,brown bread,dessert,,,,,,,
baking powder,baking powder,mustard,,,,,,,,
onions,coffee,,,,,,,,,
canned beer,shopping bags,,,,,,,,,
sausage,pork,,,,,,,,,
tropical fruit,other vegetables,,,,,,,,,
condensed milk,onions,,,,,,,,,
citrus fruit,liquor (appetizer),,,,,,,,,
sausage,root vegetables,canned beer,rolls/buns,,,,,,,
sausage,berries,,,,,,,,,
other vegetables,cereals,,,,,,,,,
citrus fruit,shopping bags,,,,,,,,,
pip fruit,beef,whole milk,other vegetables,,,,,,,
domestic eggs,specialty bar,,,,,,,,,
rolls/buns,chewing gum,,,,,,,,,
other vegetables,rolls/buns,,,,,,,,,
spread cheese,frankfurter,ice cream,citrus fruit,pip fruit,cake bar,other vegetables,yogurt,rolls/buns,,
whole milk,frankfurter,chicken,frankfurter,flour,chocolate,bottled beer,rolls/buns,,,
bottled water,coffee,sugar,bottled water,,,,,,,
soda,margarine,soda,,,,,,,,
whole milk,whole milk,,,,,,,,,
whole milk,brown bread,,,,,,,,,
pip fruit,brown bread,oil,,,,,,,,
cream cheese ,dessert,,,,,,,,,
whole milk,whole milk,,,,,,,,,
sausage,sliced cheese,,,,,,,,,
chicken,citrus fruit,whole milk,berries,instant coffee,,,,,,
yogurt,herbs,,,,,,,,,
rolls/buns,red/blush wine,,,,,,,,,
frankfurter,chocolate,pip fruit,margarine,butter,napkins,,,,,
bottled water,fruit/vegetable juice,,,,,,,,,
butter,mayonnaise,,,,,,,,,
whole milk,pastry,specialty bar,,,,,,,,
beef,canned beer,,,,,,,,,
pip fruit,sugar,,,,,,,,,
other vegetables,rice,specialty fat,,,,,,,,
bottled water,rolls/buns,,,,,,,,,
dessert,cake bar,,,,,,,,,
bottled water,rolls/buns,,,,,,,,,
beef,meat spreads,,,,,,,,,
butter milk,canned beer,,,,,,,,,
white bread,UHT-milk,,,,,,,,,
soups,white bread,other vegetables,,,,,,,,
beef,fruit/vegetable juice,,,,,,,,,
beef,pastry,,,,,,,,,
bottled water,bottled beer,brown bread,,,,,,,,
berries,canned fish,,,,,,,,,
root vegetables,frozen vegetables,,,,,,,,,
whole milk,hair spray,waffles,,,,,,,,
packaged fruit/vegetables,dog food,,,,,,,,,
bottled water,liquor (appetizer),,,,,,,,,
pork,bottled water,,,,,,,,,
sausage,pastry,whole milk,,,,,,,,
whipped/sour cream,soda,,,,,,,,,
whole milk,pastry,,,,,,,,,
whipped/sour cream,other vegetables,,,,,,,,,
butter,root vegetables,bottled water,whipped/sour cream,red/blush wine,,,,,,
berries,other vegetables,,,,,,,,,
bathroom cleaner,popcorn,,,,,,,,,
whole milk,whipped/sour cream,,,,,,,,,
white bread,meat,domestic eggs,roll products ,,,,,,,
other vegetables,other vegetables,,,,,,,,,
whole milk,newspapers,,,,,,,,,
bottled water,cream cheese ,,,,,,,,,
bottled water,brown bread,,,,,,,,,
onions,margarine,sweet spreads,,,,,,,,
whole milk,hard cheese,,,,,,,,,
whole milk,rolls/buns,,,,,,,,,
root vegetables,white bread,,,,,,,,,
white bread,whole milk,hygiene articles,,,,,,,,
curd,long life bakery product,,,,,,,,,
bottled water,margarine,,,,,,,,,
citrus fruit,ham,,,,,,,,,
beverages,sparkling wine,,,,,,,,,
coffee,yogurt,,,,,,,,,
tropical fruit,berries,beef,butter milk,yogurt,sliced cheese,,,,,
candy,yogurt,,,,,,,,,
sugar,soda,,,,,,,,,
napkins,skin care,,,,,,,,,
pork,yogurt,,,,,,,,,
UHT-milk,bottled beer,,,,,,,,,
pot plants,misc. beverages,baking powder,,,,,,,,
sliced cheese,cling film/bags,,,,,,,,,
shopping bags,soda,,,,,,,,,
herbs,pot plants,cake bar,,,,,,,,
pork,bottled water,,,,,,,,,
sausage,UHT-milk,female sanitary products,rolls/buns,,,,,,,
beverages,beverages,sugar,pasta,domestic eggs,,,,,,
whole milk,butter,,,,,,,,,
sweet spreads,butter,,,,,,,,,
processed cheese,fruit/vegetable juice,frozen meals,cat food,,,,,,,
other vegetables,newspapers,,,,,,,,,
sliced cheese,pastry,onions,,,,,,,,
herbs,yogurt,prosecco,,,,,,,,
frankfurter,bottled beer,,,,,,,,,
hamburger meat,other vegetables,,,,,,,,,
pip fruit,hamburger meat,butter,yogurt,,,,,,,
salty snack,whole milk,,,,,,,,,
dishes,brown bread,,,,,,,,,
cream cheese ,frozen vegetables,,,,,,,,,
curd,frozen meals,,,,,,,,,
curd,bottled water,other vegetables,white bread,,,,,,,
bottled water,white bread,,,,,,,,,
chicken,tropical fruit,,,,,,,,,
misc. beverages,rolls/buns,,,,,,,,,
sausage,fruit/vegetable juice,whole milk,curd,,,,,,,
citrus fruit,specialty chocolate,,,,,,,,,
sausage,salt,,,,,,,,,
whole milk,sauces,,,,,,,,,
rolls/buns,rolls/buns,,,,,,,,,
sausage,frozen potato products,,,,,,,,,
soda,candy,,,,,,,,,
beverages,newspapers,,,,,,,,,
butter milk,pickled vegetables,,,,,,,,,
hamburger meat,citrus fruit,specialty chocolate,other vegetables,,,,,,,
sausage,UHT-milk,,,,,,,,,
frankfurter,pip fruit,,,,,,,,,
bottled beer,whole milk,,,,,,,,,
tropical fruit,UHT-milk,candy,,,,,,,,
soda,napkins,,,,,,,,,
soda,rolls/buns,shopping bags,,,,,,,,
whole milk,tropical fruit,,,,,,,,,
canned beer,hamburger meat,,,,,,,,,
semi-finished bread,nuts/prunes,butter,ice cream,,,,,,,
other vegetables,sausage,tropical fruit,whipped/sour cream,salty snack,oil,,,,,
specialty chocolate,bottled water,,,,,,,,,
frankfurter,beef,frozen fish,rice,napkins,,,,,,
instant coffee,shopping bags,,,,,,,,,
other vegetables,dishes,,,,,,,,,
sausage,meat,,,,,,,,,
sweet spreads,rolls/buns,,,,,,,,,
hamburger meat,root vegetables,,,,,,,,,
